command: ffmpeg -i /home/robert/Videos/bad.mkv -vf "scale=96:48" -f image2pipe -pix_fmt rgb24 -vcodec rawvideo -
current fps: 0.00 average: 0.00                     115789 function calls (112244 primitive calls) in 1.627 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1314    0.122    0.000    0.160    0.000 baseplatform.py:308(nullFunction)
5690/2845    0.105    0.000    0.175    0.000 constant.py:14(__new__)
        3    0.095    0.032    0.095    0.032 {method 'read' of 'file' objects}
        1    0.086    0.086    0.281    0.281 __init__.py:25(<module>)
    33188    0.084    0.000    0.084    0.000 {isinstance}
      772    0.075    0.000    0.103    0.000 wrapper.py:1469(wrapper)
        1    0.040    0.040    0.161    0.161 Patterns.py:3(<module>)
     1314    0.038    0.000    0.038    0.000 baseplatform.py:356(__init__)
       20    0.033    0.002    1.797    0.090 __init__.py:1(<module>)
     3417    0.030    0.000    0.031    0.000 wrapper.py:98(__setattr__)
     5533    0.030    0.000    0.050    0.000 {hasattr}
        2    0.029    0.015    0.029    0.015 {method 'search' of '_sre.SRE_Pattern' objects}
     1169    0.025    0.000    0.065    0.000 wrapper.py:254(setPyConverter)
        3    0.023    0.008    0.041    0.014 __init__.py:2(<module>)
     1007    0.022    0.000    0.055    0.000 wrapper.py:287(setCConverter)
     8657    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
      563    0.015    0.000    0.126    0.000 wrapper.py:199(setInputArraySize)
     2923    0.015    0.000    0.021    0.000 wrapper.py:33(asList)
      812    0.014    0.000    0.024    0.000 converters.py:29(__init__)
3706/3655    0.014    0.000    0.056    0.000 {getattr}
        2    0.013    0.006    0.022    0.011 Surface.py:53(gen_indexes)
     1888    0.011    0.000    0.018    0.000 wrapper.py:89(__getattr__)
     1312    0.011    0.000    0.170    0.000 __init__.py:58(createFunction)
     1312    0.010    0.000    0.014    0.000 __init__.py:39(add_types)
     2865    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x7f2ee985cd80}
      217    0.009    0.000    0.010    0.000 __init__.py:78(CFUNCTYPE)
      235    0.009    0.000    0.013    0.000 rq.py:891(__init__)
4312/4273    0.009    0.000    0.009    0.000 {len}
    276/4    0.009    0.000    0.298    0.074 {__import__}
    50/26    0.008    0.000    0.031    0.001 sre_parse.py:395(_parse)
     2923    0.008    0.000    0.008    0.000 {method 'index' of 'list' objects}
      185    0.008    0.000    0.050    0.000 wrapper.py:124(setOutput)
        1    0.008    0.008    0.183    0.183 surfarray.py:60(<module>)
      762    0.008    0.000    0.023    0.000 wrapper.py:84(__init__)
      154    0.007    0.000    0.048    0.000 baseplatform.py:132(constructFunction)
      746    0.007    0.000    0.016    0.000 wrapper.py:115(cArgIndex)
      880    0.007    0.000    0.010    0.000 sre_parse.py:193(__next)
        1    0.007    0.007    0.007    0.007 socket.py:45(<module>)
        1    0.007    0.007    0.091    0.091 __init__.py:27(<module>)
        1    0.006    0.006    0.006    0.006 {posix.read}
1676/1546    0.006    0.000    0.007    0.000 {setattr}
        1    0.006    0.006    0.084    0.084 x11.py:16(<module>)
        1    0.006    0.006    0.006    0.006 shader_bit_encoding.py:17(<module>)
      272    0.006    0.000    0.013    0.000 function_base.py:3511(add_newdoc)
        1    0.006    0.006    0.104    0.104 GL_4_3.py:9(<module>)
     1312    0.006    0.000    0.006    0.000 __init__.py:37(types)
        3    0.006    0.002    0.006    0.002 {_ctypes.dlopen}
        1    0.006    0.006    1.627    1.627 runPatternJob.py:4(<module>)
        1    0.005    0.005    0.007    0.007 arrayhelpers.py:5(<module>)
        1    0.005    0.005    0.152    0.152 GL_1_1.py:9(<module>)
        1    0.005    0.005    0.073    0.073 GL_1_1.py:1(<module>)
        2    0.005    0.002    0.005    0.002 {posix.popen}
        1    0.005    0.005    0.010    0.010 Image.py:27(<module>)
    88/25    0.005    0.000    0.017    0.001 sre_compile.py:64(_compile)
        1    0.005    0.005    0.005    0.005 hashlib.py:56(<module>)
        1    0.005    0.005    0.005    0.005 fromnumeric.py:3(<module>)
      188    0.005    0.000    0.005    0.000 __init__.py:382(__getitem__)
       62    0.004    0.000    0.028    0.000 images.py:514(setImageInput)
        1    0.004    0.004    0.006    0.006 polynomial.py:55(<module>)
        1    0.004    0.004    1.000    1.000 OpenGlInterface.py:1(<module>)
        1    0.004    0.004    0.015    0.015 __init__.py:41(<module>)
        1    0.004    0.004    0.034    0.034 GL_1_0.py:1(<module>)
        1    0.004    0.004    1.006    1.006 MatrixScreen.py:1(<module>)
      845    0.004    0.000    0.004    0.000 {zip}
        1    0.004    0.004    0.015    0.015 Graphics.py:1(<module>)
      563    0.004    0.000    0.016    0.000 wrapper.py:193(typeOfArg)
        1    0.004    0.004    0.174    0.174 __init__.py:106(<module>)
        1    0.004    0.004    0.074    0.074 display.py:20(<module>)
        1    0.004    0.004    0.004    0.004 PixelLife.py:1(<module>)
        1    0.004    0.004    0.014    0.014 __init__.py:15(<module>)
        1    0.004    0.004    0.006    0.006 __init__.py:88(<module>)
        1    0.004    0.004    0.006    0.006 __init__.py:4(<module>)
      695    0.004    0.000    0.012    0.000 sre_parse.py:212(get)
      166    0.003    0.000    0.016    0.000 __init__.py:1017(getLogger)
        1    0.003    0.003    0.057    0.057 GL_4_0.py:9(<module>)
        1    0.003    0.003    0.099    0.099 GL_4_1.py:9(<module>)
        1    0.003    0.003    0.032    0.032 GL_4_2.py:9(<module>)
        1    0.003    0.003    0.003    0.003 {posix.fork}
        1    0.003    0.003    0.011    0.011 numeric.py:1(<module>)
        1    0.003    0.003    0.006    0.006 error.py:20(<module>)
       61    0.003    0.000    0.007    0.000 sre_compile.py:256(_optimize_charset)
      266    0.003    0.000    0.004    0.000 arrayhelpers.py:102(asArrayTypeSize)
        1    0.003    0.003    0.059    0.059 GL_3_3.py:9(<module>)
        2    0.003    0.001    0.019    0.009 __init__.py:45(<module>)
        2    0.003    0.001    0.004    0.002 collections.py:293(namedtuple)
      166    0.003    0.000    0.004    0.000 threading.py:147(acquire)
        1    0.003    0.003    0.003    0.003 serialposix.py:16(<module>)
        1    0.003    0.003    0.003    0.003 linalg.py:10(<module>)
        1    0.003    0.003    0.011    0.011 index_tricks.py:1(<module>)
     1008    0.003    0.000    0.003    0.000 rq.py:244(__init__)
       30    0.002    0.000    0.017    0.001 pointers.py:101(wrapPointerFunction)
       30    0.002    0.000    0.003    0.000 lazywrapper.py:20(wrap)
      140    0.002    0.000    0.042    0.000 baseplatform.py:192(createBaseFunction)
        2    0.002    0.001    0.007    0.004 __init__.py:10(<module>)
        1    0.002    0.002    0.004    0.004 npyio.py:1(<module>)
       20    0.002    0.000    0.008    0.000 abc.py:86(__new__)
        1    0.002    0.002    0.056    0.056 images.py:14(<module>)
        1    0.002    0.002    0.099    0.099 VideoPlay.py:1(<module>)
        1    0.002    0.002    0.002    0.002 sndarray.py:57(<module>)
        1    0.002    0.002    0.007    0.007 arraydatatype.py:1(<module>)
      153    0.002    0.000    0.002    0.000 baseplatform.py:103(errorChecking)
        1    0.002    0.002    0.024    0.024 GL_3_0.py:1(<module>)
      154    0.002    0.000    0.002    0.000 ctypesloader.py:50(buildFunction)
        1    0.002    0.002    0.004    0.004 runPatternJob.py:188(get_protocol)
      327    0.002    0.000    0.002    0.000 {_ctypes.POINTER}
      166    0.002    0.000    0.003    0.000 threading.py:187(release)
        1    0.002    0.002    0.009    0.009 random.py:40(<module>)
        1    0.002    0.002    0.052    0.052 GL_2_0.py:9(<module>)
      182    0.002    0.000    0.058    0.000 re.py:230(_compile)
        1    0.002    0.002    0.012    0.012 numerictypes.py:82(<module>)
      244    0.002    0.000    0.002    0.000 rq.py:136(__init__)
      253    0.002    0.000    0.003    0.000 arrayhelpers.py:88(asArrayType)
        2    0.002    0.001    0.002    0.001 Surface.py:38(gen_surface)
        1    0.002    0.002    0.033    0.033 GL_4_3.py:1(<module>)
        1    0.002    0.002    0.035    0.035 GL_3_0.py:9(<module>)
        1    0.002    0.002    0.296    0.296 Controllers.py:1(<module>)
        1    0.002    0.002    0.021    0.021 GL_4_1.py:1(<module>)
        1    0.002    0.002    0.026    0.026 request.py:21(<module>)
      323    0.002    0.000    0.003    0.000 sre_parse.py:141(__getitem__)
        1    0.002    0.002    0.002    0.002 Plasma.py:1(<module>)
        1    0.002    0.002    0.009    0.009 core.py:21(<module>)
      306    0.002    0.000    0.026    0.000 GL_1_0.py:12(_f)
      188    0.002    0.000    0.007    0.000 __init__.py:375(__getattr__)
      283    0.002    0.000    0.003    0.000 baseplatform.py:125(finalArgType)
      713    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
        1    0.002    0.002    0.007    0.007 threading.py:1(<module>)
        1    0.002    0.002    0.082    0.082 __init__.py:5(<module>)
        1    0.002    0.002    0.020    0.020 GL_2_0.py:1(<module>)
        1    0.002    0.002    0.014    0.014 tempfile.py:18(<module>)
       67    0.002    0.000    0.005    0.000 images.py:431(setDimensionsAsInts)
        1    0.002    0.002    0.018    0.018 utils.py:4(<module>)
